symbol,name,category,date,adj_close,source
XLE,Energy Select Sector SPDR,Sector,2024-11-01,45.539028,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2024-12-01,40.834023,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-01-01,42.128365,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-02-01,43.743515,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-03-01,44.921223,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-04-01,38.997986,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-05-01,39.496967,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-06-01,41.085953,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-07-01,42.592316,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-08-01,44.145390,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-09-01,43.632576,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-10-01,43.408924,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-11-01,44.551655,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2025-12-01,44.044323,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-01-01,50.718616,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-02-01,55.557003,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-03-01,60.862343,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-04-01,59.650002,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-05-01,59.490002,Yahoo Finance monthly adjusted close
XLE,Energy Select Sector SPDR,Sector,2026-05-01,59.490002,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1998-12-01,5.911738,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-01-01,5.765090,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-02-01,5.606224,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-03-01,5.218216,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-04-01,5.759957,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-05-01,5.827614,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-06-01,6.030581,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-07-01,6.086140,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-08-01,5.795292,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-09-01,5.897397,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-10-01,5.973857,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-11-01,5.777434,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,1999-12-01,5.615302,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-01-01,5.550708,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-02-01,4.876089,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-03-01,5.368720,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-04-01,5.762788,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-05-01,5.750144,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-06-01,5.513056,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-07-01,5.640823,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-08-01,5.860593,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-09-01,6.580430,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-10-01,7.020416,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-11-01,7.017203,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2000-12-01,6.821300,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-01-01,6.531968,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-02-01,6.667531,Yahoo Finance monthly adjusted close
XLU,Utilities Select Sector SPDR,Sector,2001-03-01,6.525717,Yahoo Finance monthly adjusted close
